ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CDSMXN25032615,CASHDRO S,COLEGIO ARCE METEPEC,Metro Foraneo,19.2488978,-99.620688,Estado de Mexico,logos/cashdros.png
CDSMXN25032801,CASHDRO S,PURO POLLO,Pacifico,23.2023359,-106.4194537,Sinaloa,logos/cashdros.png
CDSMXN25032614,CASHDRO S,TORTILLAS DE HARINA EL HUERTO,Metro,19.6690983,-99.1782122,Estado de Mexico,logos/cashdros.png
CDSMXN25032610,CASHDRO S,RESTAURANTE PLAYA AZUL,Norte,24.0219651,-104.6683106,Durango,logos/cashdros.png
CDSMXN24100109,CASHDRO S,WOOLWORTH,Bajio,20.576006,-100.4072975,Queretaro,logos/cashdros.png
CDSMXN25031908,CASHDRO S,WOOLWORTH,Bajio,20.6404821,-100.4161565,Queretaro,logos/cashdros.png
CDSMXN25032608,CASHDRO S,PALETERIA COCO,Metro,19.5126368,-99.171376,CDMX,logos/cashdros.png
CDSMXN25032607,CASHDRO S,PALETERIA COCO,Metro,19.5126368,-99.171376,CDMX,logos/cashdros.png
CDSMXN25032811,CASHDRO S,WOOLWORTH,Pacifico,24.8262632,-107.4270206,Sinaloa,logos/cashdros.png
CDSMXN25032818,CASHDRO S,WOOLWORTH,Pacifico,23.2728058,-106.4170748,Sinaloa,logos/cashdros.png
CDSMXN25060603,CASHDRO S,WOOLWORTH,Pacifico,25.8195397,-108.9783614,Sinaloa,logos/cashdros.png
CDSMXN25060607,CASHDRO S,WOOLWORTH,Pacifico,25.7904957,-109.0015463,Sinaloa,logos/cashdros.png
CDSMXN25060605,CASHDRO S,WOOLWORTH,Pacifico,25.8195397,-108.9783614,Sinaloa,logos/cashdros.png
CDSMXN25032804,CASHDRO S,WOOLWORTH,Pacifico,24.8100971,-107.3950355,Sinaloa,logos/cashdros.png
CDSMXN25032805,CASHDRO S,WOOLWORTH,Pacifico,24.8100971,-107.3950355,Sinaloa,logos/cashdros.png
CDSMXN25060604,CASHDRO S,WOOLWORTH,Pacifico,25.8195397,-108.9783614,Sinaloa,logos/cashdros.png
CDSMXN25032806,CASHDRO S,WOOLWORTH,Pacifico,24.7487145,-107.4256415,Sinaloa,logos/cashdros.png
CDSMXN25032807,CASHDRO S,WOOLWORTH,Pacifico,24.7487145,-107.4256415,Sinaloa,logos/cashdros.png
CDSMXN25032808,CASHDRO S,WOOLWORTH,Pacifico,24.7487145,-107.4256415,Sinaloa,logos/cashdros.png
CDSMXN25032809,CASHDRO S,WOOLWORTH,Pacifico,24.7487145,-107.4256415,Sinaloa,logos/cashdros.png
CDSMXN25032810,CASHDRO S,WOOLWORTH,Pacifico,24.8262632,-107.4270206,Sinaloa,logos/cashdros.png
CDSMXN25032812,CASHDRO S,WOOLWORTH,Pacifico,24.8262632,-107.4270206,Sinaloa,logos/cashdros.png
CDSMXN25032813,CASHDRO S,WOOLWORTH,Pacifico,24.8262632,-107.4270206,Sinaloa,logos/cashdros.png
CDSMXN25032814,CASHDRO S,WOOLWORTH,Pacifico,23.2011,-106.4202948,Sinaloa,logos/cashdros.png
CDSMXN25032815,CASHDRO S,ARNOLDS HOUSE,Norte,24.047717,-104.624964,Durango,logos/cashdros.png
CDSMXN25032816,CASHDRO S,WOOLWORTH,Pacifico,23.2011,-106.4202948,Sinaloa,logos/cashdros.png
CDSMXN25060602,CASHDRO S,WOOLWORTH,Pacifico,25.8195397,-108.9783614,Sinaloa,logos/cashdros.png
CDSMXN25032817,CASHDRO S,WOOLWORTH,Pacifico,23.2728058,-106.4170748,Sinaloa,logos/cashdros.png
CDSMXN25032819,CASHDRO S,WOOLWORTH,Pacifico,23.2728058,-106.4170748,Sinaloa,logos/cashdros.png
CDSMXN25060601,CASHDRO S,WOOLWORTH,Pacifico,23.2728058,-106.4170748,Sinaloa,logos/cashdros.png
CDSMXN25060606,CASHDRO S,WOOLWORTH,Pacifico,25.7904957,-109.0015463,Sinaloa,logos/cashdros.png
CDSMXN24090302,CASHDRO S,WOOLWORTH,Bajio,20.5933727,-100.3915961,Queretaro,logos/cashdros.png
CDSMXN25032616,CASHDRO S,CARNICERIA CORTES,Metro,19.5261168,-99.2112297,CDMX,logos/cashdros.png
